Position,Name,Number,Team,Games Active,Games Played,Pass Attempts,Passes Completed,Passing Yards,Passing Yards Per Attempt,Passing Yards Per Completion,Passing Touchdowns,Passer Rating,Passing Touchdowns,Rush Attempts,Rushing Yards,Rushing Yards Per Attempt,Rushing Touchdowns,Fumbles,Fumbles Lost
QB,Sean Clifford,8,GB,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.3,0.0
QB,Jake Browning,6,CIN,1,1,1.3,0.0,0.0,0.0,0.0,0.0,44.3,0.0,1.3,-1.1,-1.1,0.0,0.0,0.0
QB,Drew Lock,2,SEA,1,1,7.5,2.5,70.5,11.7,35.2,0.0,82.4,0.0,1.3,12.3,12.3,0.0,0.0,0.0
QB,Mike White,14,MIA,1,1,2.5,2.5,75.0,37.5,37.5,1.3,177.2,1.3,1.3,-1.1,-1.1,0.0,0.0,0.0
QB,C.J. Beathard,3,JAX,1,1,2.5,2.5,10.1,5.6,5.6,0.0,95.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,Brian Hoyer,7,LV,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,Mitch Trubisky,10,PIT,1,1,6.3,3.8,20.1,4.5,7.5,0.0,75.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,Blaine Gabbert,9,KC,1,1,6.3,3.8,34.7,7.8,11.5,0.0,42.9,0.0,2.5,-1.1,-0.6,0.0,0.0,0.0
QB,Tyson Bagent,17,CHI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,Case Keenum,18,HOU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,Tanner McKee,19,PHI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,Jaren Hall,16,MIN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,Skylar Thompson,6,MIA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,Will Levis,8,TEN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,Marcus Mariota,8,PHI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,Taylor Heinicke,4,ATL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,Jacoby Brissett,12,WAS,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,Brandon Allen,17,SF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,Teddy Bridgewater,10,DET,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,Davis Mills,10,HOU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
