Position,Name,Number,Team,Activated,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceptionPercentage,ReceivingYardsPerTarget,Fumbles,FumblesLost
WR,Mike Evans,13,TB,4,4,0.0,0.0,0.0,0.0,34.7,22.4,377.1,18.8,3.8,72.2,12.2,0.0,0.0
WR,Chris Moore,11,TEN,4,4,0.0,0.0,0.0,0.0,10.0,5.0,149.9,37.5,0.0,56.0,18.8,1.3,0.0
WR,Braxton Berrios,0,MIA,4,4,1.3,12.3,12.3,0.0,17.9,14.5,163.4,12.5,1.3,90.9,10.2,0.0,0.0
WR,Keith Kirkwood,18,NO,4,4,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,Marvin Jones Jr.,0,DET,4,4,0.0,0.0,0.0,0.0,8.8,2.5,10.0,5.0,0.0,32.0,1.4,1.3,1.3
WR,Scotty Miller,16,ATL,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,Greg Dortch,83,ARI,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,Marquise Brown,2,ARI,4,4,1.3,32.5,32.5,0.0,35.8,23.5,267.4,12.8,2.5,73.4,9.4,0.0,0.0
WR,A.J. Brown,11,PHI,4,4,0.0,0.0,0.0,0.0,48.1,32.5,463.3,16.0,2.5,75.4,10.7,0.0,0.0
WR,Miles Boykin,13,PIT,4,4,0.0,0.0,0.0,0.0,1.3,1.3,6.3,6.3,0.0,111.9,6.3,0.0,0.0
WR,Parris Campbell,0,NYG,4,4,0.0,0.0,0.0,0.0,23.5,15.7,69.4,5.5,0.0,74.6,3.8,0.0,0.0
WR,Marquise Goodwin,3,CLE,4,4,1.3,1.3,1.3,0.0,6.3,1.3,0.0,0.0,0.0,22.4,0.0,0.0,0.0
WR,Darius Slayton,86,NYG,4,4,0.0,0.0,0.0,0.0,22.4,12.3,147.7,13.4,0.0,61.5,8.3,0.0,0.0
WR,Deebo Samuel,19,SF,4,4,12.3,60.4,6.1,1.3,31.3,19.0,276.4,16.2,1.3,67.9,11.0,1.3,0.0
WR,Hunter Renfrow,13,LV,4,4,0.0,0.0,0.0,0.0,8.8,6.3,58.2,11.6,0.0,79.9,9.3,0.0,0.0
WR,Robert Woods,2,HOU,4,4,0.0,0.0,0.0,0.0,34.7,20.1,213.7,11.9,0.0,65.0,7.8,0.0,0.0
WR,DeAndre Hopkins,10,TEN,4,4,0.0,0.0,0.0,0.0,34.7,20.1,241.7,13.4,0.0,65.0,8.8,0.0,0.0
WR,DK Metcalf,14,SEA,4,4,0.0,0.0,0.0,0.0,25.7,20.1,299.9,16.7,2.5,87.6,13.1,0.0,0.0
WR,Brandon Powell,4,MIN,4,4,0.0,0.0,0.0,0.0,1.3,1.3,6.3,6.3,0.0,111.9,6.3,1.3,1.3
WR,Davante Adams,17,LV,4,4,0.0,0.0,0.0,0.0,56.0,36.9,444.2,13.4,3.8,73.9,9.9,0.0,0.0
WR,Terry McLaurin,17,WAS,4,4,0.0,0.0,0.0,1.3,29.1,23.5,237.2,11.3,1.3,90.4,10.3,0.0,0.0
WR,Lil'Jordan Humphrey,17,DEN,4,4,0.0,0.0,0.0,0.0,6.3,5.0,29.1,8.1,1.3,89.5,6.5,0.0,0.0
WR,Mecole Hardman Jr.,6,NYJ,4,4,0.0,0.0,0.0,0.0,1.3,1.3,7.5,7.5,0.0,111.9,7.5,0.0,0.0
WR,Adam Thielen,19,CAR,4,4,1.3,7.5,7.5,0.0,36.9,30.2,321.2,11.9,2.5,91.5,10.9,0.0,0.0
WR,KhaDarel Hodge,12,ATL,4,4,0.0,0.0,0.0,0.0,3.8,3.8,38.0,12.6,0.0,111.9,12.6,0.0,0.0
WR,Allen Robinson II,11,PIT,4,4,0.0,0.0,0.0,0.0,19.0,13.4,120.9,10.1,0.0,79.0,8.0,0.0,0.0
WR,Trent Sherfield,16,BUF,4,4,0.0,0.0,0.0,0.0,7.5,5.0,40.3,10.1,0.0,74.6,7.5,0.0,0.0
WR,Keenan Allen,13,LAC,4,4,2.5,7.5,3.8,0.0,49.2,39.2,485.6,13.9,3.8,89.0,11.1,1.3,0.0
WR,Allen Lazard,10,NYJ,4,4,0.0,0.0,0.0,0.0,17.9,11.2,189.1,18.9,1.3,69.9,11.9,0.0,0.0
WR,Byron Pringle,3,WAS,4,4,0.0,0.0,0.0,0.0,3.8,2.5,21.3,10.6,0.0,74.6,7.9,0.0,0.0
WR,Velus Jones Jr.,12,CHI,3,3,2.5,8.8,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,Antoine Green,80,DET,3,3,0.0,0.0,0.0,0.0,1.3,1.3,2.5,2.5,0.0,111.9,2.5,0.0,0.0
WR,Tre Tucker,11,LV,3,3,1.3,38.0,38.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,Malik Heath,18,GB,3,3,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,DeVante Parker,1,NE,3,3,0.0,0.0,0.0,0.0,16.8,11.2,122.0,12.2,0.0,74.6,9.1,0.0,0.0
WR,Brandin Cooks,3,DAL,3,3,0.0,0.0,0.0,0.0,16.8,10.0,73.9,10.3,0.0,59.6,5.5,1.3,0.0
WR,Jamal Agnew,39,JAX,3,3,2.5,-2.2,-1.1,0.0,7.5,6.3,60.4,12.1,0.0,93.2,10.1,1.3,1.3
WR,Jauan Jennings,15,SF,3,3,0.0,0.0,0.0,0.0,8.8,5.0,91.8,22.9,0.0,63.9,13.1,0.0,0.0
WR,Treylon Burks,16,TEN,3,3,1.3,10.1,10.1,0.0,14.5,7.5,110.8,18.5,0.0,51.7,9.5,0.0,0.0
WR,Jerry Jeudy,10,DEN,3,3,0.0,0.0,0.0,0.0,19.0,12.3,176.8,16.1,0.0,72.4,10.4,0.0,0.0
